#ITER     #MEDIA_BFO        #MEDIA_M
1027           4677.32        4838.73
1028           4677.32        4838.73
1029           4677.32        4838.73
1030           4677.32        4838.73
1031           4677.32        4838.73
1032           4677.32        4838.73
1033           4677.31        4838.72
1034           4677.31        4838.72
1035           4677.31        4838.72
1036           4677.31        4838.72
1037           4677.31        4838.72
1038           4677.31        4838.72
1039           4677.31        4838.72
1040           4677.31        4838.72
1041           4677.31        4838.72
1042           4677.31        4838.72
1043           4677.31        4838.72
1044           4677.31        4838.72
1045           4677.31        4838.72
1046           4677.31        4838.72
1047            4677.3        4838.72
1048            4677.3        4838.72
1049            4677.3        4838.72
1050            4677.3        4838.72
1051            4677.3        4838.72
1052            4677.3        4838.72
1053            4677.3        4838.72
1054            4677.3        4838.72
1055            4677.3        4838.72
1056            4677.3        4838.72
1057            4677.3        4838.72
1058            4677.3        4838.72
1059            4677.3        4838.72
1060            4677.3        4838.72
1061            4677.3        4838.72
1062            4677.3        4838.72
1063            4677.3        4838.72
1064           4677.29        4838.71
1065           4677.29        4838.71
1066           4677.29        4838.71
1067           4677.29        4838.71
1068           4677.29        4838.71
1069           4677.29        4838.71
1070           4677.29        4838.71
1071           4677.29        4838.71
1072           4677.29        4838.71
1073           4677.29        4838.71
1074           4677.29        4838.71
1075           4677.29        4838.71
1076           4677.29        4838.71
1077           4677.29        4838.71
1078           4677.29        4838.71
1079           4677.29        4838.71
1080           4677.29        4838.71
1081           4677.29        4838.71
1082           4677.29        4838.71
1083           4677.29        4838.71
1084           4677.29        4838.71
1085           4677.29        4838.71
1086           4677.29        4838.71
1087           4677.29        4838.71
1088           4677.29        4838.71
1089           4677.29        4838.71
1090           4677.29        4838.71
1091           4677.28         4838.7
1092           4677.28         4838.7
1093           4677.28         4838.7
1094           4677.28         4838.7
1095           4677.28         4838.7
1096           4677.28         4838.7
1097           4677.28         4838.7
1098           4677.28         4838.7
1099           4677.28         4838.7
1100           4677.28         4838.7
1101           4677.28         4838.7
1102           4677.28         4838.7
1103           4677.28         4838.7
1104           4677.28         4838.7
1105           4677.28         4838.7
1106           4677.28         4838.7
1107           4677.28         4838.7
1108           4677.28         4838.7
1109           4677.28         4838.7
1110           4677.28         4838.7
1111           4677.28         4838.7
1112           4677.28         4838.7
1113           4677.28         4838.7
1114           4677.28         4838.7
1115           4677.28         4838.7
1116           4677.28         4838.7
1117           4677.28         4838.7
1118           4677.28         4838.7
1119           4677.28         4838.7
1120           4677.28         4838.7
1121           4677.28         4838.7
1122           4677.28        4838.69
1123           4677.28        4838.69
1124           4677.28        4838.69
1125           4677.28        4838.69
1126           4677.28        4838.69
1127           4677.28        4838.69
1128           4677.28        4838.69
1129           4677.28        4838.69
1130           4677.28        4838.69
1131           4677.28        4838.69
1132           4677.28        4838.69
1133           4677.28        4838.69
1134           4677.28        4838.69
1135           4677.28        4838.69
1136           4677.28        4838.69
1137           4677.28        4838.69
1138           4677.28        4838.69
1139           4677.28        4838.69
1140           4677.28        4838.69
1141           4677.28        4838.69
1142           4677.28        4838.69
